noise,kernel_index,kernel_file,image_index,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,max_iter,gamma1,gamma2,alpha,score_sigma_begin,score_sigma_end,denoise_relax
0.01,7,blur_7.mat,5,ILSVRC2012_val_00028884.JPEG.png,25.243852615356445,0.7914298176765442,25.243852615356445,1200,0.7914298176765442,7.905505481176078e-05,4.14728172826833,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,7,blur_7.mat,6,ILSVRC2012_val_00038157.JPEG.png,28.00886344909668,0.7478847503662109,28.36158561706543,897,0.7580306529998779,3.074071719311178e-05,4.14818717711673,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,7,blur_7.mat,7,ILSVRC2012_val_00044012.JPEG.png,35.46214294433594,0.9339923858642578,35.46214294433594,1200,0.9339923858642578,2.762832991720643e-05,4.14670565602583,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,8,blur_8.mat,1,ILSVRC2012_val_00000491.JPEG.png,28.765832901000977,0.7764480710029602,29.0860652923584,887,0.7864519953727722,4.883315705228597e-05,4.1459111093558025,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,8,blur_8.mat,2,ILSVRC2012_val_00002289.JPEG.png,33.587066650390625,0.9282814860343933,33.73133850097656,1090,0.9324021935462952,4.398366218083538e-05,4.145140081019199,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,8,blur_8.mat,3,ILSVRC2012_val_00005941.JPEG.png,30.091915130615234,0.9129621386528015,30.151731491088867,1082,0.9147438406944275,5.650149978464469e-05,4.134671826712535,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,8,blur_8.mat,4,ILSVRC2012_val_00007658.JPEG.png,29.539257049560547,0.8412471413612366,29.54903793334961,1149,0.8419604301452637,5.100231646792963e-05,4.132764385447566,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,8,blur_8.mat,5,ILSVRC2012_val_00028884.JPEG.png,25.739971160888672,0.809424877166748,25.739971160888672,1200,0.809424877166748,0.00010216028022114187,4.136927732661715,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,8,blur_8.mat,6,ILSVRC2012_val_00038157.JPEG.png,28.014774322509766,0.7443628311157227,28.302539825439453,862,0.7553020119667053,4.1993622289737687e-05,4.1352617369167275,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,8,blur_8.mat,7,ILSVRC2012_val_00044012.JPEG.png,34.98381805419922,0.9258430004119873,35.1632194519043,976,0.9274692535400391,2.8921587727381848e-05,4.134379682985891,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,9,gaussian_1_6.mat,1,ILSVRC2012_val_00000491.JPEG.png,24.14887237548828,0.5201308131217957,27.74561309814453,680,0.7304714322090149,0.00012905753101222217,4.137378650833271,1200,0.5,0.99,0.92,80.0,2.55,0.1
0.01,9,gaussian_1_6.mat,2,ILSVRC2012_val_00002289.JPEG.png,25.35869598388672,0.6065528988838196,29.749494552612305,646,0.8749836087226868,0.00027567529468797147,4.136973274451642,1200,0.5,0.99,0.92,80.0,2.55,0.1
