noise,kernel_index,kernel_file,image_index,image,final_psnr,final_ssim,best_psnr,best_iter,ssim_at_best_psnr,final_update,runtime_per_iter,max_iter,gamma1,gamma2,alpha,score_sigma_begin,score_sigma_end,denoise_relax
0.02,2,square_7.mat,7,ILSVRC2012_val_00044012.JPEG.png,28.450483322143555,0.719860851764679,31.89016342163086,151,0.840973436832428,0.00022621123935095966,3.1345602174959786,250,0.5,0.99,0.96,80.0,2.55,0.1
0.04,1,gaussian_1_6.mat,1,ILSVRC2012_val_00000491.JPEG.png,25.906877517700195,0.629065990447998,26.023900985717773,177,0.6456543207168579,0.00017171510262414813,3.068982234127994,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,1,gaussian_1_6.mat,2,ILSVRC2012_val_00002289.JPEG.png,26.84035301208496,0.8468915820121765,27.129440307617188,157,0.8573200106620789,0.00018711744633037597,3.1776376449920063,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,1,gaussian_1_6.mat,3,ILSVRC2012_val_00005941.JPEG.png,24.2589054107666,0.7801048755645752,24.538585662841797,166,0.792689323425293,0.00022801024897489697,3.081053790640028,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,1,gaussian_1_6.mat,4,ILSVRC2012_val_00007658.JPEG.png,25.15535545349121,0.665249764919281,25.342269897460938,172,0.680396556854248,0.0001904909877339378,3.1336300654800144,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,1,gaussian_1_6.mat,5,ILSVRC2012_val_00028884.JPEG.png,22.416034698486328,0.5714185833930969,22.5086727142334,173,0.5859551429748535,0.0003537160228006542,3.0901696766279927,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,1,gaussian_1_6.mat,6,ILSVRC2012_val_00038157.JPEG.png,25.814315795898438,0.62087482213974,26.04833984375,152,0.6335580945014954,0.00012892417726106942,3.1707764237440133,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,1,gaussian_1_6.mat,7,ILSVRC2012_val_00044012.JPEG.png,29.463741302490234,0.8040302395820618,29.822988510131836,72,0.7957136034965515,0.00014449309674091637,3.122943168116006,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,2,square_7.mat,1,ILSVRC2012_val_00000491.JPEG.png,25.684906005859375,0.5948548913002014,25.812570571899414,156,0.6039829850196838,0.00021805839787703007,3.1029352843879896,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,2,square_7.mat,2,ILSVRC2012_val_00002289.JPEG.png,26.047513961791992,0.8118236660957336,26.18486976623535,162,0.8190826773643494,0.00026498426450416446,3.1495258566240083,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,2,square_7.mat,3,ILSVRC2012_val_00005941.JPEG.png,23.617687225341797,0.7436032295227051,23.76051139831543,184,0.7531256079673767,0.00032241278677247465,3.0959707218880066,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,2,square_7.mat,4,ILSVRC2012_val_00007658.JPEG.png,24.676097869873047,0.6201955676078796,24.85898208618164,188,0.6406893134117126,0.0005404111579991877,3.089674738047994,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,2,square_7.mat,5,ILSVRC2012_val_00028884.JPEG.png,22.082212448120117,0.5378287434577942,22.091503143310547,212,0.5386108756065369,0.00036898962571285665,3.1260529938719994,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,2,square_7.mat,6,ILSVRC2012_val_00038157.JPEG.png,25.365459442138672,0.5959815979003906,25.580280303955078,143,0.6072037220001221,0.00019121613877359778,3.0991802018519956,250,0.5,0.99,1.0,80.0,2.55,0.2
0.04,2,square_7.mat,7,ILSVRC2012_val_00044012.JPEG.png,29.20163345336914,0.740358293056488,29.293495178222656,187,0.7486827969551086,0.00023285718634724617,3.1724471952720195,250,0.5,0.99,1.0,80.0,2.55,0.2
