noise,kernel,kernel_file,image,psnr,ssim,alpha,gamma1,gamma2,max_iter,method,architecture
0.005,5,blur_5.mat,ILSVRC2012_val_00002289.JPEG.png,37.002463112857605,0.9633321762084961,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,5,blur_5.mat,ILSVRC2012_val_00005941.JPEG.png,34.014985919287135,0.9572353363037109,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,5,blur_5.mat,ILSVRC2012_val_00007658.JPEG.png,34.00237367940279,0.9274346232414246,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,5,blur_5.mat,ILSVRC2012_val_00028884.JPEG.png,29.608561307653346,0.9151967167854309,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,5,blur_5.mat,ILSVRC2012_val_00038157.JPEG.png,30.981809092671405,0.8578179478645325,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,5,blur_5.mat,ILSVRC2012_val_00044012.JPEG.png,39.86490289723723,0.9749040007591248,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,6,blur_6.mat,ILSVRC2012_val_00000491.JPEG.png,32.74450386385649,0.8937380909919739,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,6,blur_6.mat,ILSVRC2012_val_00002289.JPEG.png,37.322423052553106,0.9621132016181946,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,6,blur_6.mat,ILSVRC2012_val_00005941.JPEG.png,34.49527435254297,0.9584830403327942,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,6,blur_6.mat,ILSVRC2012_val_00007658.JPEG.png,34.64704527557812,0.9304521679878235,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
0.005,6,blur_6.mat,ILSVRC2012_val_00028884.JPEG.png,30.90788315085167,0.9297054409980774,0.86,0.5,0.99,1200,Gaussian-PnPPDS,DnCNN_nobn_nch_3_nlev_0.01
